actual,predicted,error,brand,model,age
12300,12391.0,-91.146484375,bmw,BMW 116,11
37500,66123.0,-28623.421875,bmw,BMW 650,8
28885,29907.0,-1022.421875,bmw,BMW X2,6
8900,10085.0,-1185.4912109375,volkswagen,Volkswagen Golf Plus,13
12800,12500.0,299.6240234375,fiat,Fiat 500C,8
16440,13171.0,3269.19921875,audi,Audi A3,10
30190,33175.0,-2985.26171875,kia,Kia XCeed,1
15950,19361.0,-3411.2734375,skoda,Skoda Fabia,4
21480,35261.0,-13781.4296875,seat,SEAT Tarraco,1
27080,21475.0,5604.615234375,seat,SEAT Arona,1
17890,18765.0,-874.583984375,toyota,Toyota Yaris,1
38990,34816.0,4174.0234375,mercedes-benz,Mercedes-Benz C 300,7
14799,12701.0,2098.4365234375,ford,Ford Transit,7
9999,13083.0,-3084.4560546875,volkswagen,Volkswagen Scirocco,11
22950,26708.0,-3758.326171875,nissan,Nissan Qashqai,4
15900,18689.0,-2789.314453125,audi,Audi A5,13
2250,3654.0,-1403.9189453125,peugeot,Peugeot 207,16
7250,13605.0,-6354.9365234375,volkswagen,Volkswagen up!,7
13490,16244.0,-2754.068359375,skoda,Skoda Fabia,5
19490,19157.0,332.603515625,opel,Opel Corsa,3
13999,16123.0,-2124.4501953125,skoda,Skoda Octavia,6
23799,27780.0,-3980.845703125,mercedes-benz,Mercedes-Benz Sprinter,5
6200,7324.0,-1123.68798828125,opel,Opel Corsa,13
57990,49947.0,8043.046875,bmw,BMW X5 M,9
3500,4593.0,-1092.6337890625,ford,Ford Mondeo,15
4950,5322.0,-371.96484375,mercedes-benz,Mercedes-Benz C 180,20
31700,28094.0,3605.779296875,bmw,BMW 420,7
22890,28645.0,-5755.416015625,audi,Audi A3,4
26790,25106.0,1684.19921875,audi,Audi A6,6
17850,18260.0,-409.544921875,volkswagen,Volkswagen Sharan,8
39900,34733.0,5166.55078125,honda,Honda CR-V,1
13950,9687.0,4262.62890625,ford,Ford Transit,12
21950,22236.0,-286.271484375,seat,SEAT Ateca,5
32950,30505.0,2444.642578125,mercedes-benz,Mercedes-Benz A 200,5
31490,25920.0,5570.04296875,opel,Opel Corsa,1
19910,20851.0,-940.75,skoda,Skoda Octavia,5
33800,30562.0,3238.0390625,skoda,Skoda Kodiaq,6
9999,8808.0,1191.3994140625,volkswagen,Volkswagen Golf,15
22900,21360.0,1539.927734375,kia,Kia Niro,6
25990,27291.0,-1301.23828125,seat,SEAT Arona,2
10900,13672.0,-2772.2783203125,mercedes-benz,Mercedes-Benz E 200,17
17488,19236.0,-1747.583984375,fiat,Fiat 500C,1
26960,26030.0,929.876953125,toyota,Toyota C-HR,3
10950,11651.0,-701.2685546875,hyundai,Hyundai iX35,10
12950,16051.0,-3100.5849609375,ford,Ford Kuga,8
8990,9749.0,-758.7744140625,hyundai,Hyundai iX35,11
27990,23346.0,4644.248046875,skoda,Skoda Karoq,5
20700,18978.0,1721.626953125,mercedes-benz,Mercedes-Benz GLA 180,8
2490,5255.0,-2764.51513671875,peugeot,Peugeot 207,14
25799,28199.0,-2400.427734375,nissan,Nissan Townstar,1
1250,1465.0,-214.873291015625,volkswagen,Volkswagen Golf,24
26890,26133.0,757.078125,volkswagen,Volkswagen Taigo,1
29990,25884.0,4105.66015625,audi,Audi Q3,7
10900,13216.0,-2315.6708984375,mercedes-benz,Mercedes-Benz S 320,16
8950,8920.0,30.1064453125,audi,Audi A3,13
25743,27273.0,-1530.126953125,audi,Audi A6 allroad,7
16800,15168.0,1632.2529296875,mini,MINI Cooper,8
31990,29894.0,2096.431640625,volvo,Volvo XC60,6
40810,35611.0,5199.3828125,skoda,Skoda Kodiaq,2
26490,22916.0,3574.337890625,opel,Opel Grandland X,4
21720,19105.0,2615.359375,mazda,Mazda 2,1
24500,25924.0,-1423.95703125,mini,MINI Cooper SD Clubman,7
8450,10404.0,-1953.6005859375,smart,smart forTwo,10
45550,38466.0,7083.8359375,ford,Ford Kuga,1
15000,18314.0,-3314.07421875,mercedes-benz,Mercedes-Benz S 500,17
3499,12326.0,-8827.4697265625,bmw,BMW 530,16
46400,44562.0,1837.953125,land-rover,Land Rover Discovery,7
21990,22127.0,-137.01953125,kia,Kia Sportage,6
6990,5410.0,1580.2119140625,mazda,Mazda 3,17
14880,17283.0,-2402.677734375,opel,Opel Corsa,4
34999,16999.0,18000.39453125,seat,SEAT Ibiza,4
9000,15675.0,-6675.123046875,volkswagen,Volkswagen Touran,7
18999,9645.0,9353.822265625,bmw,BMW 118,12
27000,10677.0,16323.1201171875,volkswagen,Volkswagen T5 Caravelle,14
13000,15983.0,-2983.1630859375,audi,Audi A6,13
54590,50209.0,4381.4921875,bmw,BMW 520,1
56890,50854.0,6035.93359375,jaguar,Jaguar F-Pace,4
31896,35426.0,-3529.59765625,audi,Audi A1,2
25290,31192.0,-5901.634765625,fiat,Fiat Tipo,1
25890,33485.0,-7595.08203125,seat,SEAT Ibiza,1
27500,25313.0,2186.998046875,audi,Audi A4 allroad,8
28690,24764.0,3926.26171875,audi,Audi A7,10
17990,20109.0,-2118.720703125,seat,SEAT Leon,6
49990,49134.0,855.6484375,mercedes-benz,Mercedes-Benz C 63 AMG,7
