actual,predicted,error,brand,model,age
9999,14259.0,-4259.658665617204,volkswagen,Volkswagen Scirocco,11
22950,27424.0,-4474.002732454828,nissan,Nissan Qashqai,4
15900,28418.0,-12517.57822167137,audi,Audi A5,13
2250,-4890.0,7139.828103192573,peugeot,Peugeot 207,16
7250,14779.0,-7529.185271111026,volkswagen,Volkswagen up!,7
13490,14185.0,-694.7291981059607,skoda,Skoda Fabia,5
19490,20930.0,-1440.4781101443368,opel,Opel Corsa,3
13999,20209.0,-6210.18401162334,skoda,Skoda Octavia,6
23799,20822.0,2976.78338278885,mercedes-benz,Mercedes-Benz Sprinter,5
6200,7269.0,-1069.298052945971,opel,Opel Corsa,13
57990,86629.0,-28638.745716068865,bmw,BMW X5 M,9
3500,1851.0,1649.0887180781792,ford,Ford Mondeo,15
4950,2927.0,2023.442874959026,mercedes-benz,Mercedes-Benz C 180,20
31700,31150.0,550.3128361000126,bmw,BMW 420,7
22890,26493.0,-3602.5475637644377,audi,Audi A3,4
26790,22529.0,4260.989883527858,audi,Audi A6,6
17850,20723.0,-2872.676329608712,volkswagen,Volkswagen Sharan,8
39900,35885.0,4014.911348308975,honda,Honda CR-V,1
13950,7948.0,6002.2454415694465,ford,Ford Transit,12
21950,25086.0,-3135.9512112368357,seat,SEAT Ateca,5
32950,30973.0,1977.1701357457932,mercedes-benz,Mercedes-Benz A 200,5
31490,26193.0,5297.014577776674,opel,Opel Corsa,1
19910,18784.0,1126.4391782825114,skoda,Skoda Octavia,5
33800,29403.0,4396.668717258173,skoda,Skoda Kodiaq,6
9999,9755.0,243.60351183642342,volkswagen,Volkswagen Golf,15
22900,19111.0,3789.1302070147867,kia,Kia Niro,6
25990,26520.0,-530.3933992458224,seat,SEAT Arona,2
10900,14218.0,-3318.3822607903567,mercedes-benz,Mercedes-Benz E 200,17
17488,23943.0,-6454.908495068397,fiat,Fiat 500C,1
26960,28899.0,-1938.912640743405,toyota,Toyota C-HR,3
10950,10756.0,193.66986503142107,hyundai,Hyundai iX35,10
12950,18593.0,-5643.369671524219,ford,Ford Kuga,8
8990,10563.0,-1572.891037514495,hyundai,Hyundai iX35,11
27990,23925.0,4065.447311734344,skoda,Skoda Karoq,5
20700,17228.0,3472.1855773443276,mercedes-benz,Mercedes-Benz GLA 180,8
2490,-1131.0,3620.761381222139,peugeot,Peugeot 207,14
25799,32456.0,-6657.042520516694,nissan,Nissan Townstar,1
1250,-11346.0,12596.386112216678,volkswagen,Volkswagen Golf,24
26890,28490.0,-1599.8062078252915,volkswagen,Volkswagen Taigo,1
29990,27922.0,2068.040679717873,audi,Audi Q3,7
